INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
31,1,13783,-73346,0,,,,,,
39,0,13811,-51558,0,,,,,,
73,1,13593,-51555,0,,,,,,
74,1,14093,-51562,0,,,,,,
75,0,13807,-54543,0,,,,,,
76,1,13625,-54543,0,,,,,,
77,1,14017,-54544,0,,,,,,
78,0,13804,-56850,0,,,,,,
79,1,14052,-56853,0,,,,,,
80,0,13800,-59510,0,,,,,,
81,1,14084,-59519,0,,,,,,
82,0,13800,-62170,0,,,,,,
83,1,14177,-62169,0,,,,,,
84,0,13792,-67466,0,,,,,,
85,1,13536,-67466,0,,,,,,
86,1,14139,-67465,0,,,,,,
87,0,13784,-72776,0,,,,,,
88,1,13584,-72775,0,,,,,,
89,1,14142,-72779,0,,,,,,
97,1,13495,-68792,0,,,,,,
98,0,13780,-68780,0,,,,,,
106,1,13805,-51459,0,,,,,,
