full_name,synchro_INTID,intersection_id,coord_x,coord_y
"AZ-95 & Mohave Dr, Bullhead,  AZ",2,1,-114.59783,34.9170585
"AZ-95 & Boundary Cone Rd, Bullhead,  AZ",2,2,-114.59796,34.96790999
"AZ-95 & Fairway Vlg Blvd, Bullhead,  AZ",2,3,-114.59799,34.97883999
"AZ-95 & E Lipan Blvd, Bullhead,  AZ",2,4,-114.59801,34.98243998
"AZ-95 & Joy Ln, Bullhead,  AZ",2,5,-114.59802,34.99695002
"AZ-95 & Hammer Ln, Bullhead,  AZ",2,6,-114.59799,35.00422002
"AZ-95 & El Rodeo Rd, Bullhead,  AZ",2,7,-114.59797,35.0115
"AZ-95 & Aztec Rd, Bullhead,  AZ",2,8,-114.59799,35.01791002
"AZ-95 & Camp Mohave South, Bullhead,  AZ",2,9,-114.59798,35.02607001
"AZ-95 & E Corwin, Bullhead,  AZ",2,10,-114.59008,35.04465998
"AZ-95 & Long Ave, Bullhead,  AZ",2,11,-114.58905,35.05205001
"AZ-95 & Meadows Dr, Bullhead,  AZ",2,12,-114.5932,35.07634999
"AZ-95 & Riverview Dr, Bullhead,  AZ",2,13,-114.59809,35.0933
"AZ-95 & Marina Blvd, Bullhead,  AZ",2,14,-114.59802,35.10063001
"AZ-95 & Thunderstruck Dr, Bullhead,  AZ",2,15,-114.59804,35.10557001
"AZ-95 & Hancock Rd, Bullhead,  AZ",2,16,-114.59806,35.10738
"AZ-95 & Club House Dr, Bullhead,  AZ",2,17,-114.5948,35.11916001
"AZ-95 & Plata Dr, Bullhead,  AZ",2,18,-114.58923,35.12059001
"AZ-95 & Silver Creek Rd, Bullhead,  AZ",2,19,-114.5823,35.12279
"AZ-95& Rancho Colorado, Bullhead,  AZ",2,20,-114.57706,35.12689999
"AZ-95 & Laughlin Ranch Blvd, Bullhead,  AZ",2,21,-114.57118,35.13593999
"AZ-95 & 3rd Street, Bullhead,  AZ",2,22,-114.56869,35.14588998
"AZ-95 & 7th Street, Bullhead,  AZ",2,23,-114.56747,35.15312
"AZ-95 & Airport Center Dr, Bullhead,  AZ",2,24,-114.56638,35.16489
"AZ-95 & Aviation, Bullhead,  AZ",2,25,-114.56615,35.16815001
"AZ-95 &  , Bullhead,  AZ",2,26,-114.56586,35.17219001
"AZ-95 & College Way, Bullhead,  AZ",2,27,-114.56586,35.17219001
"AZ-95 & Bullhead Pkwy, Bullhead,  AZ",2,28,-114.56586,35.17219001
